0	-3.000 	-3.000 	-3.000 	-3.000 	-3.000 	-3.000 	
0	48.000 	14.400 	4.800 	-4.800 	-14.400 	-60.000 	
1	9024.000 	231.552 	7.296 	-11.136 	-266.112 	-18300.000 	
2	325694208.000 	64061.754 	18.374 	-54.059 	-85298.070 	-1674541440.000 	
3	424306862918205440.000 	4924613120.000 	127.696 	-1190.557 	-8731015168.000 	-14020445611329847296.000 	
4	720145254683193353464231265562525696.000 	29102179428207689728.000 	6471.384 	-567446.188 	-91476754991335604224.000 	-inf 	
5	inf 	inf 	16748935.000 	-128798302208.000 	-inf 	-inf 	
6	-nan 	-nan 	112210726617088.000 	-6635601439167875121152.000 	-inf 	-inf 	
7	-nan 	-nan 	5036498891605944372016709632.000 	-inf 	-inf 	-inf 	
8	-nan 	-nan 	inf 	-inf 	-inf 	-inf 	
9	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
10	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
11	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
12	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
13	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
14	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
15	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
16	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
17	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
18	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
19	-nan 	-nan 	-nan 	-inf 	-inf 	-inf 	
