0	-2.000 	-2.000 	-2.000 	-2.000 	-2.000 	-2.000 	
0	24.000 	7.200 	2.400 	-2.400 	-7.200 	-30.000 	
1	2208.000 	53.568 	1.344 	-3.264 	-70.848 	-4650.000 	
2	19492224.000 	3379.156 	0.185 	-5.567 	-6108.346 	-108135752.000 	
3	1519787062591488.000 	13698382.000 	-0.060 	-14.624 	-44781604.000 	-58466706900647936.000 	
4	9239010663478378788046837383168.000 	225174800564224.000 	0.026 	-91.391 	-2406470712819712.000 	-17091778846658670579450220585680896.000 	
5	inf 	60844433698902198523275509760.000 	-0.010 	-3377.518 	-6949322086089745735961785925632.000 	-inf 	
6	-nan 	inf 	0.004 	-4564401.000 	-inf 	-inf 	
7	-nan 	-nan 	-0.002 	-8333504806912.000 	-inf 	-inf 	
8	-nan 	-nan 	0.001 	-27778921924640094000513024.000 	-inf 	-inf 	
9	-nan 	-nan 	-0.000 	-inf 	-inf 	-inf 	
10	-nan 	-nan 	0.000 	-inf 	-inf 	-inf 	
11	-nan 	-nan 	-0.000 	-inf 	-inf 	-inf 	
12	-nan 	-nan 	0.000 	-inf 	-inf 	-inf 	
13	-nan 	-nan 	-0.000 	-inf 	-inf 	-inf 	
14	-nan 	-nan 	0.000 	-inf 	-inf 	-inf 	
15	-nan 	-nan 	-0.000 	-inf 	-inf 	-inf 	
16	-nan 	-nan 	0.000 	-inf 	-inf 	-inf 	
17	-nan 	-nan 	-0.000 	-inf 	-inf 	-inf 	
18	-nan 	-nan 	0.000 	-inf 	-inf 	-inf 	
19	-nan 	-nan 	-0.000 	-inf 	-inf 	-inf 	
