Ponto 1 – 23 graus

pontos		SMP(ohm)		SMC(mV)
1		109,102		0,848
2		109,101		0,848
3		109,1			0,849
4		109,103		0,848

Ponto 2 –188,5 graus
Pontos		SMP(ohm)	SMC(mV)
1		171,64		6,838
2		171,73		6,864
3		171,74		6,889
4		171,81		6.906

Ponto 3 –??? graus
pontos		SMP(ohm)	SMC(mV)
1		200,47		10,923
2		200,75		10,95
3		200,9		10,971
4		201,44		10,994

Ponto 4 –400 graus
pontos		SMP(ohm)	SMC(mV)
1		219,24		13,066
2		219,39		13,081
3		219,53		13,093
4		219,66		13,109
