0.100000 	 5.522382 	 4.690571 
0.101000 	 5.510925 	 4.780789 
0.102000 	 5.499469 	 4.870980 
0.103000 	 5.488013 	 4.961113 
0.104000 	 5.476559 	 5.051162 
0.105000 	 5.465106 	 5.141097 
0.106000 	 5.453656 	 5.230891 
0.107000 	 5.442208 	 5.320515 
0.108000 	 5.430764 	 5.409940 
0.109000 	 5.419323 	 5.499139 
0.110000 	 5.407887 	 5.588083 
0.111000 	 5.396455 	 5.676744 
0.112000 	 5.385028 	 5.765093 
0.113000 	 5.373606 	 5.853102 
0.114000 	 5.362190 	 5.940743 
0.115000 	 5.350781 	 6.027987 
0.116000 	 5.339378 	 6.114806 
0.117000 	 5.327983 	 6.201173 
0.118000 	 5.316595 	 6.287057 
0.119000 	 5.305216 	 6.372432 
0.120000 	 5.293845 	 6.457268 
0.121000 	 5.282483 	 6.541538 
0.122000 	 5.271131 	 6.625213 
0.123000 	 5.259788 	 6.708265 
0.124000 	 5.248456 	 6.790665 
0.125000 	 5.237135 	 6.872386 
0.126000 	 5.225826 	 6.953398 
0.127000 	 5.214528 	 7.033674 
0.128000 	 5.203242 	 7.113185 
0.129000 	 5.191969 	 7.191902 
0.130000 	 5.180709 	 7.269799 
0.131000 	 5.169463 	 7.346845 
0.132000 	 5.158231 	 7.423013 
0.133000 	 5.147014 	 7.498275 
0.134000 	 5.135811 	 7.572602 
0.135000 	 5.124624 	 7.645966 
0.136000 	 5.113452 	 7.718338 
0.137000 	 5.102297 	 7.789691 
0.138000 	 5.091159 	 7.859995 
0.139000 	 5.080038 	 7.929223 
0.140000 	 5.068935 	 7.997347 
0.141000 	 5.057850 	 8.064337 
0.142000 	 5.046783 	 8.130166 
0.143000 	 5.035735 	 8.194805 
0.144000 	 5.024707 	 8.258225 
0.145000 	 5.013699 	 8.320400 
0.146000 	 5.002712 	 8.381300 
0.147000 	 4.991745 	 8.440897 
0.148000 	 4.980799 	 8.499162 
0.149000 	 4.969875 	 8.556068 
0.150000 	 4.958974 	 8.611585 
0.151000 	 4.948095 	 8.665686 
0.152000 	 4.937239 	 8.718343 
0.153000 	 4.926407 	 8.769526 
0.154000 	 4.915599 	 8.819209 
0.155000 	 4.904815 	 8.867361 
0.156000 	 4.894057 	 8.913955 
0.157000 	 4.883323 	 8.958964 
0.158000 	 4.872616 	 9.002357 
0.159000 	 4.861935 	 9.044108 
0.160000 	 4.851281 	 9.084187 
0.161000 	 4.840653 	 9.122566 
0.162000 	 4.830054 	 9.159218 
0.163000 	 4.819482 	 9.194113 
0.164000 	 4.808940 	 9.227224 
0.165000 	 4.798426 	 9.258521 
0.166000 	 4.787941 	 9.287978 
0.167000 	 4.777487 	 9.315564 
0.168000 	 4.767063 	 9.341253 
0.169000 	 4.756670 	 9.365016 
0.170000 	 4.746308 	 9.386824 
0.171000 	 4.735978 	 9.406649 
0.172000 	 4.725680 	 9.424463 
0.173000 	 4.715415 	 9.440237 
0.174000 	 4.705182 	 9.453943 
0.175000 	 4.694984 	 9.465554 
0.176000 	 4.684819 	 9.475039 
0.177000 	 4.674689 	 9.482372 
0.178000 	 4.664594 	 9.487523 
